UF,Como ficou sabendo do curso?,Género,Categoria,Dias após o início das inscrições,Auxiliar,Data Inscrição,Inscrição
CE,Grupo de WhatsApp,M,Hematologia Forense e Entomologia Forense,43,44637,17/03/2022 21:55:00,Aprovado
CE,Grupo de WhatsApp,M,Hematologia Forense e Entomologia Forense,43,44637,17/03/2022 21:44:00,Aprovado
MA,,F,,0,0,,Pendente
RJ,Propaganda do Instagram,F,,0,0,,Pendente
DF,Nenhuma das opções anteriores,F,,0,0,,Pendente
CE,Grupo de WhatsApp,M,,0,0,,Pendente
CE,,M,,0,0,,Pendente
MG,Nenhuma das opções anteriores,F,,0,0,,Pendente
MS,Propaganda do Instagram,F,,0,0,,Pendente
GO,No Instagram da Alquimista Jr.,F,,0,0,,Pendente
RS,No Instagram da Alquimista Jr.,F,,0,0,,Pendente
CE,,F,,0,0,,Pendente
CE,No Instagram da Alquimista Jr.,F,,0,0,,Pendente
RN,Propaganda do Instagram,M,,0,0,,Pendente
RJ,Propaganda do Instagram,F,,0,0,,Pendente
PE,,F,,0,0,,Pendente
MT,No Instagram da Alquimista Jr.,F,,0,0,,Pendente
,,F,,0,0,,Pendente
PA,Nenhuma das opções anteriores,F,,0,0,,Pendente
CE,Grupo de WhatsApp,M,,0,0,,Pendente
RO,Indicação de amigo,F,,0,0,,Pendente
TO,No Instagram da Alquimista Jr.,F,,0,0,,Pendente
AP,Propaganda do Instagram,F,,0,0,,Pendente
BA,Propaganda do Instagram,F,,0,0,,Pendente
BA,No Instagram da Alquimista Jr.,F,,0,0,,Pendente
,Propaganda do Instagram,F,,0,0,,Pendente
RJ,Grupo de WhatsApp,F,,0,0,,Pendente
CE,Nenhuma das opções anteriores,F,,0,0,,Pendente
SP,Propaganda do Instagram,F,,0,0,,Pendente
RJ,Propaganda do Instagram,F,,0,0,,Pendente
TO,Indicação de amigo,F,,0,0,,Pendente
